상록수점,010-8398-8310,"경기 안산시 상록구 본삼로 39, 인제빌딩 104호",37.30112942,126.8643432
고흥 녹동점,061-844-2782,전남 고흥군 도양읍 녹동신항8길 35-8,34.5279505,127.1445707
부산 신호점,051-972-8292,"부산 강서구 신호동 215-15, 110호",,
경북 도청점,054-655-0007,경북 예천군 호명면 산합리 1393,,
강릉 사천점,033-643-8529,강원 강릉시 사천면 가둔지길 12,37.82809958,128.8783986
강릉 경포대점,033-652-6668,"강원 강릉시 해안로 388, 3층(초당동)",37.79685612,128.9123607
진해 자은점,055-551-0103,"경남 창원시 진해구 냉천남로 3-10, 자은스퀘어 103호",35.15524715,128.7140666
용인 둔전점,031-322-2208,경기 용인시 처인구 포곡읍 포곡로124번길 11,37.26966336,127.2199623
음성 금왕점,043-882-6690,"충북 음성군 금왕읍 탑골길 18, 104호",36.98949196,127.5853302
부산 하단점,051-715-7192,부산 사하구 하단동 489-21,,
전남 보성점,061-852-8892,전남 보성군 보성읍 현충로 92-7,34.76762889,127.0822148
서울 월곡점,02-6052-7969,"서울 성북구 하월곡동 81-294, 2층",,
일산 라페스타점,031-925-3345,경기 고양시 일산동구 장항동 731-2 남정씨티프라자7차 107호,,
속초 교동점,033-636-5892,강원 속초시 수복로 85,38.19985172,128.578579
양산 덕계점,055-365-8885,경남 양산시 덕계동 1577 상가동 101호,,
포항 창포점,054-253-4988,경북 포항시 북구 우창로 166-1 메트로시티2단지상가 103호,36.06645417,129.3662612
대전 가오점,042-272-9992,"대전 동구 가오동 354, 1층",,
부산 덕천점,051-337-8088,부산 북구 덕천동 393-20,,
전남 해남점,061-536-3399,전남 해남군 해남읍 해리 407-4,,
아산 1호점,041-531-3139,충남 아산시 음봉면 음봉로 672,36.83430621,127.0824452
파주 산내점,휴업중,"경기 파주시 목동동 937-2, 202호",,
,,,,
제주1호점,064-702-9292,제주특별자치도 제주시 삼도일동 546-32,,
,,,,
충남 당진점,041-358-7292,충남 당진시 대덕동 1643,,
,,,,
남양주 진접점,031-572-9211,경기 남양주시 진접읍 장현리 44-12,,
,,,,
전남 구례점,061-783-9993,전남 구례군 구례읍 중앙로7,35.20626171,127.4677181
,,,,
경기 포천점,031-535-9249,경기 포천시 신읍동 315-5,,
,,,,
대구 동천점,053-324-9400,대구 북구 동천동 919-7,,
,,,,
대구 용산점,053-593-8885,"대구광역시 달서구 용산동 465-4, 1층",,
,,,,
인천 부평점,032-508-9282,인천광역시 부평구 동수로 80(부평동 995),37.48425556,126.7271194
,,,,
김천1호점,054-437-0555,경북 김천시 부곡동 417-5,,
,,,,
삼척 건지점,033-575-9125,강원 삼척시 엑스포로 176 (건지동 174),37.43634658,129.147269
,,,,
구미 인의점,054-475-4289,"경북 구미시 인동19길 36-8, 1층",36.09977826,128.4302025
,,,,
칠곡 구암점,053-322-0271,"대구 북구 구암동 693-6, 1층",,
,,,,
강원 동해1호점,033-522-5141,강원 동해시 동회동 66-4,,
,,,,
원주 단관점,033-766-8259,강원 원주시 단구로420 성일아파트상가 2층,,
,,,,
김포 구래점,031-988-2782,"경기 김포시 구래동 6871-57, 103호",,
,,,,
천안 성환점,041-582-8811,"충남 천안시 서북구 성환읍 성환9길 11-3, 1층",36.91637334,127.1290447
,,,,
광양 중마점,061-791-7942,"전남 광양시 마동 1037-5, 1층",,
,,,,
원주 단계점,033-734-8521,강원 원주시 천사로57(단계동),37.34779017,127.9316907
,,,,
부산 개금점,051-898-1782,부산 부산진구 개금동 1-12,,
,,,,
강원 홍천점,033-434-5045,강원 홍천군 홍천읍 갈마로7,37.69553305,127.9019681
,,,,
성신여대점,02-921-6688,서울 성북구 동선동2가 26,37.59028653,127.0217212
,,,,
대구 복현산격점,053-959-9991,대구 북구 산격동 1291-22,,
,,,,
천안 두정점,041-555-9294,충남 천안시 서북구 두정동1911,,
,,,,
